epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,679.252,0.6282,0.42199,0.93561,0.89879,0.94075,0.93682,0.72806,0.8559,0.67404,1.11856,0.00022774,0.00022774,0.00022774
89,686.988,0.63429,0.41025,0.93669,0.89259,0.93977,0.93025,0.69474,0.92526,0.97835,1.18987,0.00022576,0.00022576,0.00022576
90,694.662,0.6187,0.40595,0.93353,0.87064,0.96377,0.9327,0.70985,0.89272,0.97322,1.14632,0.00022378,0.00022378,0.00022378
91,702.339,0.62696,0.41402,0.93658,0.89297,0.94309,0.95122,0.69504,0.94375,0.65957,1.18195,0.0002218,0.0002218,0.0002218
92,709.987,0.61867,0.41088,0.92915,0.88972,0.95,0.95338,0.72455,0.90601,0.76364,1.20312,0.00021982,0.00021982,0.00021982
93,717.686,0.62939,0.41092,0.93808,0.87953,0.94874,0.93696,0.70926,0.93329,0.68178,1.1523,0.00021784,0.00021784,0.00021784
94,725.365,0.63079,0.4089,0.93209,0.9045,0.94984,0.95038,0.72482,0.94804,0.86095,1.26424,0.00021586,0.00021586,0.00021586
95,733.136,0.61856,0.40493,0.93337,0.89776,0.95,0.9406,0.74263,0.94085,0.89732,1.24667,0.00021388,0.00021388,0.00021388
96,740.773,0.61022,0.40137,0.92876,0.88166,0.95,0.944,0.73064,0.96936,0.94938,1.25693,0.0002119,0.0002119,0.0002119
97,748.463,0.62031,0.3982,0.9286,0.88918,0.95581,0.95022,0.73645,0.92943,0.79173,1.23238,0.00020992,0.00020992,0.00020992
98,756.12,0.60265,0.39546,0.92157,0.88145,0.94271,0.95029,0.74562,0.91953,0.79608,1.23799,0.00020794,0.00020794,0.00020794
99,763.955,0.60521,0.3974,0.93434,0.90616,0.9493,0.94228,0.74231,0.86932,0.57883,1.18735,0.00020596,0.00020596,0.00020596
100,771.704,0.60162,0.39154,0.92519,0.90331,0.93834,0.93391,0.71816,0.91183,1.12936,1.19276,0.00020398,0.00020398,0.00020398
101,779.408,0.60868,0.3933,0.92651,0.91624,0.95,0.93492,0.73511,0.9048,0.81943,1.18156,0.000202,0.000202,0.000202
102,787.094,0.59296,0.37873,0.92668,0.91625,0.97264,0.94474,0.73849,0.89518,0.71874,1.18471,0.00020002,0.00020002,0.00020002
103,794.788,0.60773,0.39074,0.92502,0.89068,0.96534,0.92643,0.71701,0.88766,0.98986,1.21049,0.00019804,0.00019804,0.00019804
104,802.481,0.59437,0.38393,0.91716,0.89939,0.96538,0.941,0.74259,0.9113,0.63384,1.26083,0.00019606,0.00019606,0.00019606
105,810.205,0.58973,0.38228,0.91954,0.90307,0.95227,0.93819,0.72927,0.90443,0.91402,1.18858,0.00019408,0.00019408,0.00019408
106,817.892,0.59169,0.38368,0.92189,0.90094,0.92742,0.92911,0.73461,0.87964,1.0721,1.16802,0.0001921,0.0001921,0.0001921
107,825.651,0.59329,0.38584,0.93076,0.89627,0.9442,0.92677,0.71277,0.9045,0.95953,1.17696,0.00019012,0.00019012,0.00019012
108,833.442,0.59172,0.38532,0.9226,0.89262,0.9581,0.92255,0.72516,0.91301,1.087,1.19236,0.00018814,0.00018814,0.00018814
109,841.32,0.58278,0.3761,0.91601,0.88623,0.94357,0.9267,0.7361,0.90566,1.10456,1.20032,0.00018616,0.00018616,0.00018616
110,848.987,0.59279,0.38197,0.91471,0.8826,0.95,0.91928,0.73828,0.93442,1.33425,1.2299,0.00018418,0.00018418,0.00018418
111,856.709,0.57872,0.37576,0.91424,0.88254,0.92326,0.9383,0.74005,0.94017,0.98649,1.20308,0.0001822,0.0001822,0.0001822
112,864.394,0.58812,0.37428,0.91946,0.90322,0.92876,0.93411,0.72969,0.90451,1.20731,1.1362,0.00018022,0.00018022,0.00018022
113,872.082,0.58759,0.37962,0.91858,0.88088,0.95848,0.93225,0.72035,0.90348,0.6287,1.16285,0.00017824,0.00017824,0.00017824
114,879.98,0.5773,0.37073,0.91513,0.89994,0.9567,0.93115,0.71456,0.92397,1.13246,1.17737,0.00017626,0.00017626,0.00017626
115,887.689,0.57672,0.36823,0.91326,0.89611,0.94126,0.92872,0.68809,0.89892,0.92582,1.16365,0.00017428,0.00017428,0.00017428
